"","X1_LD","X2_LDV","X3_SD","X4_SDV","X5_FT10","X6_FT16","X7_FT22","X40_2W","X42_8W","X43_FLC","X44_FRI","X45_8W.GH.FT","X46_8W.GH.LN","X47_0W.GH.FT","X57_FT.Field","X58_FT.Diameter.Field","X59_FT.GH","X60_FT.Duration.GH","X61_LC.Duration.GH","X62_LFS.GH","X63_MT.GH","X64_RP.GH","X65_At1","X66_At1.CFU2","X67_As","X68_As.CFU2","X69_Bs","X70_Bs.CFU2","X71_At2","X72_At2.CFU2","X73_As2","X74_As2.CFU2","X80_LN10","X81_LN16","X82_LN22","X161_Germ.10","X162_Germ.16","X163_Germ.22","X164_Width.10","X165_Width.16","X166_Width.22","X167_Chlorosis.10","X168_Chlorosis.16","X169_Chlorosis.22","X170_Anthocyanin.10","X171_Anthocyanin.16","X172_Anthocyanin.22","X173_Leaf.serr.10","X174_Leaf.serr.16","X175_Leaf.serr.22","X176_Leaf.roll.10","X177_Leaf.roll.16","X178_Leaf.roll.22","X179_Rosette.Erect.22"
"8313",26,25,100.208,58.3333,49,35,27,20.2,18.2,0.136,0.33,24.7,13.8,NA,178.431,37.0768,23.4704,18.2801,57.9456,41.8251,16.6182,34.6359,1,3.896,2,4.298,3.667,4.712,0,3.8,0.333,4.919,18,10,10,7,3,2,2,6.3,6,0,0,0,0,0,1,0.75,0.5,0.5,0,1,1,0
"8314",29.4,27,77.6667,36.5,64,41,37,21,15.2,1.222,0.571,24.2,14.2,27.3,159.145,36.2145,24.7577,19.5358,62.1424,44.2303,17.5641,37.2447,1.333,3.221,0,4.279,0.5,5.563,0,4.661,0.167,4.084,41,16,17,7,3,2,2.2,7.2,12,0,0,0,0,0,0,0.75,1,1.5,1,0,1,0
"8323",NA,24,117.701,58.8333,51,41,36,26,20.7,NA,NA,24.1,16.6,27.7,162.387,25.4153,27.0308,20.4696,66.3922,46.9446,21.2151,41.0036,0.667,5.464,0.5,4.639,3.5,3.575,0,4.045,0.2,5.387,13,12,15,7,3,4,1.7,5.5,9.5,0,1,1,0,1,1,0.5,1,1,0,0,0,0
"8325",29.6667,22.8333,77,47,49,41,27,19,15.1,0.043,1.476,24.4,13.8,22.2,172.019,37.1283,24.6072,21.5438,62.2602,46.3725,16.0772,37.6686,1.667,4.314,1.667,3.859,5.167,4.676,0,4.284,0.667,4.566,14,12,9,7,3,2,2.5,6.5,8,0,0,0,0,0,0,0.5,0,0,0,0,0,0
"8326",41.8681,34.8,98.0417,73,67,58,49,NA,25,0.245,1.468,32.7,18.1,47.4,178.751,31.6563,42.1228,22.7702,78.8016,64.6037,14.0425,37.0967,2.167,4.662,1.667,4.258,8,5.371,1.833,5.343,1.5,5.457,30,44,31,7,4,3,3,9.6,13,0,0,1,0,0,0,1.5,1.5,1.5,0,0,0,1
"8329",26.6667,24.3333,74.0083,39,46,31,26,19.2,15.4,0.102,0.32,24.5,11.5,23.2,159.643,37.1783,26.425,18.3999,69.4513,44.6814,24.3424,42.9494,0.333,3.075,1.333,4.655,6,4.983,0.5,2.909,0,3.458,12,10,11,5,3,2,2.1,7.2,9.5,0,1,1,0,1,0,0,0.5,0.5,1,0,0,0
"8334",40.825,25.8333,92.2417,60.4,64,52,51,34.6,22.1,1.69,1.398,29.3,16.2,41.8,165.091,38.6035,36.1066,25.5827,78.2042,61.8893,16.147,41.9349,1.167,5.194,0.333,4.231,3.833,3.508,0.667,4.295,0.333,4.93,21,25,31,7,3,2,2.5,7.2,12.5,1,0,0,0,0,0,0.5,1,1,0,0,0,0
"8335",200,49.8,200,83.3333,104,129,250,NA,NA,2.782,1.914,NA,NA,200,190.365,27.5767,33.8426,31.8478,79.066,65.1732,13.5708,45.5603,1.333,2.688,0.333,3.656,2.6,5.463,2,5.012,0,2.832,48,68,140,7,3,2,2,6.2,9,1,1,1,0,1,1,0.75,0.75,0.75,0,0,0,0
"8337",82.0417,28.5,111.375,36.25,70,74,78,35.6,17.8,NA,NA,29,19,NA,157.687,40.7572,81.9393,24.8196,109.924,101.685,12.4783,36.4753,3.167,3.403,2.167,3.813,2.167,4.51,1.333,5.503,1.833,4.159,33,47,49,7,3,3,2.7,6,7.2,0,1,1,0,0,0,1,0.75,1,0,0,0,1
"8343",33.6667,25,86.0139,46,62,45,26,30.6,20.3,0.166,0.283,27.7,16.4,30.9,157.926,39.144,27.9406,16.7219,62.1611,44.7211,16.8843,34.0345,0,3.03,0.2,4.252,3.667,4.945,0,3.79,0,4.43,21,31,19,5,3,2,2.4,9.5,13.7,0,0,0,0,0,0,0.75,1,1,1,1,0,0
"8351",200,36,200,95,78,112,250,125,31.4,2.07,0.723,34.4,22,NA,168.185,31.5653,NA,NA,NA,NA,NA,NA,1.167,4.791,0.8,5.197,6.5,4.359,0.5,4.586,3.167,4.366,38,59,262,5,3,2,2.6,5.6,8.6,0,0,0,0,0,0,1,1,1,0,0,0,1
"8353",27,19.3333,60.6667,27.6,41,40,37,15.6,14.2,NA,NA,23.8,9.1,26,91.9233,32.4466,24.1196,17.4386,58.0806,40.9688,16.8416,34.5982,2,4.253,0.167,5.054,0.667,4.834,0.833,4.551,0,3.909,9,12,15,5,3,2,2.4,6.2,7.5,0,0,0,0,0,0,0.5,1,1.5,0,0,1,0
"8354",34.3472,27.5,NA,NA,70,45,29,21.4,18.2,0.361,0.469,29,15,33.6,168.001,19.0269,29.8491,22.0552,68.0131,51.9123,16.0083,38.1305,3.333,6.548,0.833,5.202,7.833,5.754,1.5,5.461,5.167,3.093,26,17,12,5,3,2,2.2,7.2,6.4,0,0,0,0,0,0,1,0.5,0.5,1,0,1,0
"8357",52.5417,25.6667,78,40.2,NA,NA,NA,30.2,18.2,NA,NA,25.6,14.7,50.9,150.249,40.2655,50.925,22.8384,87.1424,73.9046,12.7866,35.9965,0.833,2.837,0.833,3.753,6.667,4.802,0.667,2.288,0.833,4.427,18,36,53,5,3,2,3.4,6.2,7.5,0,1,1,0,1,1,1,1,1,1,0,0,0
"8365",27.5,30.5,72.3333,44.6,51,33,26,19.2,18.9,NA,NA,32.2,15.4,26.3,154.76,33.4013,26.091,18.0244,59.3838,44.215,15.9507,33.4982,2.833,4.845,1.833,3.643,8.333,4.92,3,4.47,0.333,4.28,16,12,10,5,3,2,2.7,8,9,0,0,0,0,0,1,1,1,1.5,0,0,0,0
"8366",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,185.556,42.3477,24.8802,21.7333,67.6388,46.5377,19.2481,42.1759,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8369",95.0417,41,200,76,76,67,110,NA,NA,3.065,2.352,30.6,21.6,69.2,188.367,24.1912,168.936,NA,NA,NA,NA,NA,1.5,5.453,0.5,5.102,7.167,4.799,0.667,5.174,0.667,5.246,36,50,58,5,3,2,2.7,5.8,8,0,1,1,1,1,1,0.5,1,1,0,0,0,1
"8374",31.8333,32.6667,77.5,54,59,45,30,25,19.5,0.309,0.69,28.2,17.1,29.2,167.487,43.4959,30.2733,21.1911,68.5655,51.6034,17.0633,38.2591,1.5,4.208,0.333,4.715,9,6.28,0,4.522,0,4.271,30,31,14,7,3,2,2.4,10.5,16,0,0,0,0,0,0,1,1,0.75,1,0,1,0
"8376",200,45.75,200,73.3333,84,134,250,125,33.1,1.629,0.937,38,19.9,200,167.852,30.0596,164.263,NA,NA,NA,NA,NA,0.833,4.554,0.333,3.816,3.833,5.901,0.5,4.561,0,4.287,40,90,310,7,3,2,2.5,7,7.5,0,1,1,0,0,0,0.5,0.5,0.75,1,0,1,1
"8378",41.825,27.6,87.8542,44,56,50,41,25.2,18.5,0.862,1.27,26.8,16.4,35.2,158.529,35.2714,34.7583,17.3611,67.7883,51.9352,16.1051,33.2265,2.5,4.787,4.5,3.611,5.667,5.016,2.5,5.811,5,4.8,17,22,23,7,3,2,2.2,7.5,10.7,1,1,1,0,0,0,0.75,0.75,0.75,1,0,0,1
"8387",35.5104,30.3333,90.5278,57.8,52,49,44,NA,NA,0.058,NA,32.1,15.9,37,169.976,30.8807,31.4561,21.6523,69.5318,53.3083,16.0781,38.011,0,3.358,2.333,5.447,4.833,4.55,0.167,3.807,1,4.738,18,23,28,5,3,2,2.3,7,12.2,0,1,1,0,0,0,1,1,1.5,0,0,0,1
"8388",NA,24,67.4,40.5,60,46,34,24.6,22.1,NA,NA,26.6,16,32,165.662,31.6882,29.1526,21.3076,69.3787,50.7777,16.29,39.2557,2.333,2.302,0.5,3.668,6.167,4.43,0,4.223,2.167,4.904,19,21,14,5,3,2,2.5,7.2,10.5,0,1,1,0,0,0,1.5,1,1,1,0,0,0
"8389",32.8333,27.2,81.6,47,63,50,38,23.8,20.6,0.156,2.64,26,17.4,28.9,156.875,30.2608,35.4555,11.6637,64.8127,47.0942,17.6889,29.3878,2.5,6.396,2.667,5.8,6.833,3.157,0.167,5.079,0.5,5.324,19,26,19,5,3,2,2.5,6.5,10.2,0,1,1,0,0,0,0.75,1,1,1,0,0,0
"8395",33.3333,36.25,76.8403,49.1667,69,35,40,24.4,22.6,0.035,0.846,29.1,20.7,29.8,162.165,46.372,31.0774,21.0941,69.2602,52.3159,16.7726,38.1396,0.667,4.117,1.833,4.068,2.333,2.389,0.333,4.499,0.333,4.789,27,22,23,5,3,2,2.7,8,12,0,0,0,0,0,0,0.75,1,1,1,0,0,0
"8411",27.1667,25,86.6875,69,NA,NA,NA,21.5,19.6,0.082,0.894,27.3,15.5,24.2,184.665,34.6278,25.7428,22.2607,66.5562,48.0239,18.4664,40.7591,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8412",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06,0.399,23.1,12.3,22.1,172.804,35.6714,22.3031,18.5941,57.09,40.8893,15.9943,34.6686,2.667,5.112,4,6.045,7.8,4.863,1.333,4.99,0.333,4.561,20,10,8,7,3,2,3.2,7.5,5.6,1,1,1,0,0,0,0,0,0,0,0,0,0
"8420",NA,NA,NA,NA,56,41,28,22.2,18.4,NA,NA,31.8,17,NA,156.536,30.0955,28.2882,18.8384,63.8651,47.2227,17.0903,35.674,2.167,4.877,0.833,4.965,5.4,4.271,0,4.341,0.2,4.716,20,15,14,7,3,3,3.1,9,12,0,0,1,0,0,0,0.75,0.5,0,1,0,0,1
"8422",NA,NA,NA,NA,106,172,250,NA,NA,NA,NA,NA,NA,NA,196.188,31.8918,166.574,NA,NA,NA,NA,NA,1.25,5.56,1.333,4.853,6.5,4.048,1.667,4.084,0.4,5.274,53,168,128,5,3,3,3,6.5,8.3,0,0,1,0,0,0,0,0,0.5,1,0,0,1
"8423",NA,NA,NA,NA,70,53,44,NA,NA,0.179,1.1,33.7,21.2,NA,182.011,33.1707,47.1974,26.1911,91.6554,73.5162,18.7151,44.5979,2.833,5.415,2.167,5.227,4.833,3.429,0.5,3.651,4.333,3.272,24,28,33,5,3,2,3,7.2,12.7,0,0,0,0,0,0,1,0.5,1,0,0,0,0
"8424",44.2014,21.6667,92.2167,35.3333,46,51,63,43.8,28.6,5.958,1.8633,29.2,13,NA,159.533,38.9751,59.1042,29.7236,97.6757,88.7193,9.35774,38.8292,5,5.614,4.667,2.173,8.667,5.102,4.333,5.377,6.667,5.963,13,37,36,5,3,2,4.1,6.2,9.5,0,1,1,1,0,0,0.75,0.75,1,1,0,0,1
"8426",NA,NA,NA,NA,49,31,26,18.6,17.9,0.017,0.709,27,15.6,23.9,166.098,34.0858,25.5211,19.1329,62.5517,45.0896,18.7515,37.5198,0.167,3.175,1.167,4.831,4,5.198,0,3.991,0.5,3.956,14,11,12,6,3,3,3.5,8,12.5,0,0,1,0,0,0,0.75,0.75,0.75,1,0,0,0
"8430",NA,NA,NA,NA,NA,NA,NA,35.2,26.4,1.116,1.958,33.2,17,NA,188.383,30.769,131.032,36.4879,131.937,104.117,27.1982,63.7053,1.667,4.371,1.2,5.445,2.167,5.223,0.167,4.151,1.167,4.898,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9057",NA,NA,NA,NA,76,60,38,33.2,28.2,0.175,0.418,33.1,23.4,NA,180.312,30.5852,40.2577,26.8109,81.0544,66.9444,13.4604,44.7243,0.5,4.977,3.667,3.826,7,1.213,1,4.23,0,3.697,40,42,26,5,4,3,3.2,7.8,12.5,0,0,1,0,0,0,1,0.75,0.75,0,0,0,0
"9058",NA,NA,NA,NA,101,128,250,125,28.5,3.971,2.331,38,15,200,181.68,28.9507,168.391,NA,NA,NA,NA,NA,1.333,5.757,3.833,4.513,6.5,4.466,1.667,4.17,1.667,4.876,38,60,96,7,4,2,NA,NA,NA,1,0,1,0,0,0,0,0,0.5,1,0,0,1
"100000",NA,NA,NA,NA,58,35,27,NA,NA,NA,NA,NA,NA,NA,166.296,22.3056,24.591,18.8497,65.9456,43.3572,23.2151,41.5888,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,10,12,5,3,2,2.8,6.1,8.4,1,0,1,0,0,0,1,0,0,0,0,0,0
