"","X1_LD","X2_LDV","X3_SD","X4_SDV","X5_FT10","X6_FT16","X7_FT22","X40_2W","X42_8W","X43_FLC","X44_FRI","X45_8W.GH.FT","X46_8W.GH.LN","X47_0W.GH.FT","X57_FT.Field","X58_FT.Diameter.Field","X59_FT.GH","X60_FT.Duration.GH","X61_LC.Duration.GH","X62_LFS.GH","X63_MT.GH","X64_RP.GH","X65_At1","X66_At1.CFU2","X67_As","X68_As.CFU2","X69_Bs","X70_Bs.CFU2","X71_At2","X72_At2.CFU2","X73_As2","X74_As2.CFU2","X80_LN10","X81_LN16","X82_LN22","X161_Germ.10","X162_Germ.16","X163_Germ.22","X164_Width.10","X165_Width.16","X166_Width.22","X167_Chlorosis.10","X168_Chlorosis.16","X169_Chlorosis.22","X170_Anthocyanin.10","X171_Anthocyanin.16","X172_Anthocyanin.22","X173_Leaf.serr.10","X174_Leaf.serr.16","X175_Leaf.serr.22","X176_Leaf.roll.10","X177_Leaf.roll.16","X178_Leaf.roll.22","X179_Rosette.Erect.22"
"7514",41.8611,29.5,98.6333,69.2,58,51,47,NA,NA,0.183,0.2262,29,19.9,36.2,177.659,29.6386,42.2876,28.3384,87.3148,70.66,16.0781,44.7157,2,3.444,0.167,3.913,6.667,4.729,0.667,5.033,1.5,5.449,23,39,36,5,3,2,4.4,10.2,8.5,0,0,0,0,0,0,0.5,0.75,0.75,1,1,0,1
"7515",50.6417,29.3333,NA,NA,49,62,60,96.3,60,0.272,0.9646,42.8,32.9,55.9,179.864,38.3884,63.0945,35.9741,104.753,99.0068,4.96781,41.1499,2.167,5.063,1.667,5.476,7.167,3.41,0.5,3.769,1.5,4.148,15,42,50,5,3,3,3.2,7.4,9.2,0,1,0,0,0,0,0.5,0.75,1,1,1,0,1
"7516",200,42.8333,200,126,100,167,250,125,37.1,1.092,0.3914,39.8,26,200,180.269,35.8317,NA,NA,NA,NA,NA,NA,0.833,4.824,1.667,3.155,6.333,5.323,0,3.653,0.5,5.03,33,71,150,5,4,3,5,10.2,9.5,0,0,1,1,1,1,0.75,0,0,0,0,0,0
"7517",200,NA,200,182.667,107,160,207,125,40.6,1.91,2.6742,NA,NA,200,167.3,25.2455,165.903,NA,NA,NA,NA,NA,0.833,3.232,1.5,4.764,6.167,3.733,0,4.391,0,4.178,41,82,108,5,4,3,5.3,10.5,11,0,1,1,1,1,1,0.75,0,0,1,1,1,0
"7518",185.34,35.3333,200,77.25,103,116,113,NA,NA,1.715,1.6083,35.1,21.6,96.5,186.142,22.7254,NA,NA,NA,NA,NA,NA,1,3.113,1.333,3.292,5.5,2.645,0,4.566,1.5,5.406,39,38,140,5,4,3,5.2,10.5,9.1,0,1,1,0,1,1,1,0,0,1,1,0,0
"7519",101.868,33.1667,109.875,52.6,76,71,68,45.6,24.9,1.143,1.5632,31.9,20.4,NA,190.138,21.1823,91.3035,24.1911,115.082,108.213,9.38736,31.2714,5,5.724,4,5.578,9.333,1.128,4.167,4.514,1.667,4.91,44,49,66,5,4,2,4.3,10.8,10.5,1,1,0,0,1,0,0.5,1,1,1,1,0,1
"7520",36.8403,26,95.0417,60.8333,60,42,33,23,18.1,0.155,2.0038,28.4,16.3,30.8,184.569,31.5892,31.4996,18.5552,68.0526,49.9612,17.5781,36.3208,0.5,5.401,1.333,4.939,4.833,6.356,0,3.93,0,4.943,22,21,21,5,4,3,4.8,8.2,9,0,0,1,0,0,1,0.5,0.5,0.5,1,0,0,0
"7521",36.3472,25.1667,110.292,59.8333,60,52,50,26.4,18.9,1.111,3.6373,28.1,16.4,32,170.608,32.5831,43.4256,24.7915,83.5842,68.1967,15.0231,40.1016,0.5,5.331,2,4.429,8.167,3.164,0.333,4.295,0,5.067,24,37,44,5,4,2,5,8,10.5,1,1,1,0,0,1,1.5,0.5,0.5,0,0,0,0
"7522",63.4417,34.6667,93.2333,58,83,62,64,54.6,28.5,2.695,1.0036,34,18.2,NA,176.851,18.1528,59.6371,30.4662,104.979,90.1982,15.0353,45.4022,3.5,5.874,6.2,4.165,9.833,5.223,3.5,5.532,1.333,5.056,25,58,52,5,3,2,3.4,6.5,5,0,1,0,0,0,0,1,1,1,0,0,0,1
"7523",63.8417,27.6667,200,68.6667,57,60,60,45.8,24.2,0.889,1.8292,28.9,20,58.4,180.59,32.181,92.2434,17.9388,120.382,110.102,11.6864,28.7373,1.333,3.826,0.5,4.324,6,3.338,1.667,5.152,0.667,5.217,20,50,51,5,3,2,3.1,8.4,9.7,0,1,0,0,0,0,0.75,0.75,1,0,0,0,1
"7524",47.0278,24.1667,200,67.2,51,55,73,NA,NA,0.572,2.0003,36.5,30.4,54.1,178.862,43.5212,64.1773,29.083,103.769,93.528,10.212,39.3815,2,2.796,2.667,5.075,8.333,2.896,1.5,4.376,2.167,5.237,15,51,80,5,3,2,2.7,8.2,7.6,0,1,0,0,0,1,0,0.75,1,1,1,0,1
"7525",31.5,24.1667,115.542,78.5,46,41,43,25.8,20.1,0.138,0.7095,26.9,16.5,31.8,162.033,39.4279,31.425,19.1054,68.5318,50.4276,18.0362,37.145,0.667,4.431,1.8,4.065,8.333,3.688,1,5.347,0.8,5.462,15,18,30,5,3,2,3,7.9,8.4,0,1,0,0,0,1,0,0,1,1,1,0,1
"7526",52.0417,29.1667,200,74.4,53,60,87,NA,NA,0.181,0.7381,36.5,31.3,49.3,180.167,27.0369,55.0003,36.3303,102.247,91.2379,10.4812,47.0635,1.833,5.15,0.333,4.383,5,3.947,1,3.335,0.5,4.481,17,54,31,5,3,2,3.5,8,10.7,0,0,1,0,0,0,0.5,0.5,1,1,1,0,1
"8213",25,18.8333,65.1667,37,44,29,27,17,18.2,0.335,1.1361,25.1,10.4,23.4,126.735,29.8788,24.4698,16.3999,57.4318,40.6584,16.8958,32.3076,3.167,5.463,2.333,4.922,8.167,3.538,2.5,5.517,3.167,5.706,15,10,11,5,3,2,5,6,8.5,0,1,0,1,1,0,0.5,0.75,0.75,1,0,0,0
"8214",37.6806,25.8333,94.7014,45.8333,51,48,42,27.4,19.1,0.96,1.1831,25,16,31,160.017,35.406,35.4244,23.248,73.3745,57.9582,15.051,38.1124,1.333,4.577,2.5,3.815,4.333,2.748,0,3.318,0.167,3.055,15,29,22,7,4,3,3.5,7.5,10.5,0,1,0,1,0,0,0.5,1,1,1,0,0,1
"8215",33.6667,24,103.035,59.6667,51,45,37,22.8,17.9,0.839,1.3153,25.3,15,NA,154.676,42.3132,29.091,16.4776,62.924,45.4444,16.8298,33.4555,3.333,6.248,4.333,5.237,5.667,5.552,1,5.763,1,5.823,18,22,25,7,3,3,4,9,11,0,0,0,1,1,1,1,0.5,1.5,1,0,0,1
"8222",200,41.25,200,72.5,90,98,90,69.7,25.4,1.265,0.767,61.5,22.4,83.9,173.074,21.8225,126.273,15.2843,106.381,121.668,11.8221,29.0168,3.833,6.544,2.333,5.428,4.6,3.992,2.667,5.456,3.6,5.262,35,44,43,7,3,2,3,8,13.2,1,1,1,0,1,1,1,0.5,0.5,1,0,0,1
"8230",200,46.8,200,200,97,163,216,21.2,18.5,2.941,2.489,35.2,20.5,200,171.934,23.4475,NA,NA,NA,NA,NA,NA,1.333,3.769,3.667,3.597,6.667,2.838,0.833,5.461,0.667,5.307,47,96,160,7,3,2,2,7.5,11,0,0,1,0,0,0,0,1,1.5,1,0,0,1
"8231",95.0417,NA,NA,NA,91,116,126,116.4,27.1,1.882,0.903,32,22.5,NA,180.884,32.9899,92.2244,NA,NA,NA,NA,NA,2.5,3.445,1.333,4.093,8.667,4.774,0.5,3.782,0.167,5.084,42,60,90,5,3,2,2,6.5,9.2,0,1,1,0,0,0,0.5,1,1,1,0,0,0
"8233",41.5208,46,NA,NA,59,79,73,73.6,37.4,0.627,1.875,49.4,43.4,123,181.484,45.994,74.4652,27.6007,107.756,102.199,5.98704,40.348,2.5,2.763,2,4.988,1.667,5.114,0.833,5.053,1.833,4.975,24,43,62,7,3,2,2.5,6.3,11.5,1,1,1,0,0,0,0.5,1,1,1,0,0,0
"8235",21,23.75,NA,NA,60,71,58,33.8,18.2,1.169,0.825,29,15.5,49.3,176.566,39.6814,63.244,33.7558,110.32,100.115,10.7429,44.0541,1,4.401,0,5.055,8,4.218,0.833,5.465,1,5.152,22,45,52,7,3,2,2.7,5.6,10.5,0,1,1,0,1,0,1.5,0.75,1.5,1,0,0,0
"8236",35.6736,27,97.8681,60,91,44,31,23.2,18.9,0.114,1.072,27.8,15.5,33.3,177.386,41.9794,30.3491,19.3497,64.2208,49.6661,15.6034,34.2844,0.833,3.043,0.333,3.688,2,4.264,0.5,3.272,0.167,5.576,21,21,15,7,3,2,2,8,12.5,0,0,1,0,0,0,0.5,0.75,0.75,0,0,1,0
"8237",200,38.4,200,128.5,97,43,NA,125,25,1.063,1.385,NA,NA,200,NA,NA,NA,NA,NA,NA,NA,NA,0.667,3.269,2.167,3.998,5.167,5.209,0,3.982,0.5,3.825,32,23,NA,7,3,4,0.7,6.6,NA,0,0,NA,0,1,0,0.5,1,NA,0,0,NA,NA
